,mean,variance,skewness,kurtosis,date
0,22869.583333333332,7586901.592654037,-0.11972262443220935,1.5907029476586714,2019-03
1,23709.033882783882,13755736.385924071,1.190187519249542,2.965359666619833,2019-06
2,29263.337333937197,31709875.807167742,0.5335556188495615,-0.64066646744975,2019-09
3,23578.19063254831,8859265.55909096,0.3209554558609194,0.08119569303499707,2019-12
4,22492.058188339437,7144079.511667218,0.026065171706148336,1.41865085255214,2020-03
5,23247.139194139196,19221949.907056123,1.103412625660124,1.005853713840969,2020-06
6,29353.92942330918,34449215.83166717,0.6632156539707306,-0.31149695190928073,2020-09
7,23968.67768719807,13977565.804470602,1.262659282837917,3.558284664146651,2020-12
8,22182.261419753086,6812954.601204514,-0.1635289373407676,1.7359676300556406,2021-03
9,24250.587873931625,18155171.719297376,1.1195264571212726,1.3573058542531569,2021-06
10,29314.438028381643,29637910.39698972,0.5382037463032623,-0.5912014603499212,2021-09
11,23496.486601751207,8554407.951358505,0.4178156907124341,-0.37552898066197393,2021-12
