,mean,variance,kurtosis,skewness,date
0,21812.465277777777,6884161.315863336,0.7876763831398176,-0.6736065094975032,2019-01-01
1,24134.614583333332,7756920.941528746,0.33975752579843027,-0.9858577383570406,2019-01-02
2,24751.847222222223,5726200.638598529,0.30672217399202195,-1.0605003677882856,2019-01-03
3,24432.8125,4865190.849738676,0.22369310295758624,-1.1255346906077057,2019-01-04
4,23862.239583333332,4868821.137521777,-0.1661544640409712,-1.0448031529905915,2019-01-05
5,22532.003472222223,5893794.67943041,0.8004086461173331,-0.5567437206010744,2019-01-06
6,24016.25,7501176.202090592,-0.2212471308596679,-0.8558435188112772,2019-01-07
7,24008.791666666668,6167265.217770034,-0.27182918078744644,-0.8393282544451592,2019-01-08
8,23849.465277777777,6213641.232239643,-0.22352776474443403,-0.8230163630332541,2019-01-09
9,23719.038194444445,6100816.0229263455,-0.1127519898805849,-0.9411226049595429,2019-01-10
10,23981.315972222223,5510346.42594609,-0.38358373816242786,-0.8811423162228316,2019-01-11
11,21865.85763888889,3596650.1155512,0.6458478981612498,-0.5833194274882518,2019-01-12
12,21287.572916666668,5500387.548671603,1.0061747513376842,-0.4265637336621153,2019-01-13
13,24766.916666666668,11960082.425087107,-0.6657483073150254,-1.0075847446092592,2019-01-14
14,24800.42013888889,9392944.634714965,-0.524900588474019,-1.0044223450040408,2019-01-15
15,24291.902777777777,8127709.530584591,-0.43754218664038186,-0.9586614199348644,2019-01-16
16,24208.815972222223,8562539.286573267,-0.6372613011681058,-1.0042602178687892,2019-01-17
17,23104.006944444445,5306851.0940282615,-0.26178609616647525,-0.8348419080027116,2019-01-18
18,20978.413194444445,3283169.4488845333,0.8612364192242716,-0.45070610673599365,2019-01-19
19,20616.46875,4734454.709821428,0.8188120759080337,-0.5406744954735254,2019-01-20
20,22616.777777777777,7965309.128145567,0.3796118932173129,-0.669493412470445,2019-01-21
21,23665.53125,6717904.66104094,0.24370316748796328,-1.0279263567878698,2019-01-22
22,23699.95486111111,6034248.48924458,0.290407405633929,-1.144777678001271,2019-01-23
23,23527.288194444445,5511906.763344464,0.15007913428532815,-1.1520738485036417,2019-01-24
24,23124.20486111111,5081409.717467577,0.09335445240597014,-1.11644161028762,2019-01-25
25,21241.53125,3141586.228985192,0.8416513838043751,-0.3613784376222622,2019-01-26
26,20176.190972222223,5321771.4024269255,0.9930129256614832,-0.34244186025388323,2019-01-27
27,23156.5625,7874890.449041812,-0.46192496523214316,-0.8463844034588499,2019-01-28
28,23144.868055555555,5846894.191589237,-0.09090125085124241,-0.8186541175098809,2019-01-29
29,22997.95138888889,6266479.119579945,-0.05281186534703366,-0.9024237068708012,2019-01-30
30,23447.270833333332,6961076.079703833,-0.4167400284523934,-0.8174524704293575,2019-01-31
31,23375.472222222223,5757112.939992257,-0.4063190789981231,-0.8010601422210675,2019-02-01
32,22241.097222222223,4443728.924312815,-0.1035605637663646,-0.9321734242675084,2019-02-02
33,21450.034722222223,3606152.674748354,0.40410325901688265,-0.7022087805982129,2019-02-03
34,24112.822916666668,9193933.672364982,-0.5087851750329659,-0.8179262768122446,2019-02-04
35,24356.784722222223,6874242.030149051,0.12773153681866545,-0.8373955714553425,2019-02-05
36,24383.51736111111,5859033.720951897,0.4313462739483568,-1.0841625990178376,2019-02-06
37,24498.131944444445,5531279.822251258,0.35236318875218997,-1.2548693211811799,2019-02-07
38,24150.690972222223,4615839.440754453,0.1262590164495584,-1.1066979308268454,2019-02-08
39,22360.465277777777,3104323.253145567,0.7036569006063461,-0.5670397949243773,2019-02-09
40,21970.399305555555,5229972.066480353,1.012561824242562,-0.3219930476718207,2019-02-10
41,23949.3125,6933957.191202091,0.38830055978902495,-0.995454808459622,2019-02-11
42,24777.42013888889,5766611.686979772,-0.1456603029973228,-0.8754613117264407,2019-02-12
43,24861.010416666668,7757787.84309669,-0.5700435258096829,-0.9460288631447296,2019-02-13
44,24082.020833333332,10618296.54311847,-3.0090156505335997,18.927583523745078,2019-02-14
45,23648.059027777777,5616526.111486159,-0.17737619279669617,-0.7358929170256854,2019-02-15
46,21775.333333333332,3853872.3484320557,0.8296324474801469,-0.5536163836086954,2019-02-16
47,21452.902777777777,5254436.492257066,1.0167271716064556,-0.42271072184569425,2019-02-17
48,23297.822916666668,6233450.2925740415,0.7169793676729009,-0.6366690897726643,2019-02-18
49,24287.444444444445,6626568.1293070065,0.4724987188045025,-1.2180466188032102,2019-02-19
50,25075.17361111111,6147558.39484127,0.10382051825758931,-0.7207676599075366,2019-02-20
51,24900.64236111111,6296185.031927506,0.26219433302867773,-0.856373723358713,2019-02-21
52,24015.229166666668,5200271.7730836235,0.341876853607963,-1.3531099595034601,2019-02-22
53,22200.46875,3451754.688915505,0.3708907477346519,-0.6774647373928913,2019-02-23
54,20803.79861111111,5375553.248499806,0.7383348787843764,-0.36464189453877216,2019-02-24
55,23340.35763888889,6430412.585934475,0.16785902675210118,-0.7178485166452782,2019-02-25
56,23786.15625,5496932.243793554,0.006059387700579653,-0.6439406509537302,2019-02-26
57,23221.35763888889,4816866.794993709,0.16977507173215298,-0.7666088962060669,2019-02-27
58,22726.28125,5026967.101807491,0.44968995658232347,-0.6557164849729009,2019-02-28
59,22649.51736111111,4445188.661718448,0.008769302884753976,-0.7312345464270056,2019-03-01
60,21675.819444444445,3017730.5038714674,0.4479834110418988,-0.43780662233321843,2019-03-02
61,20393.35763888889,4711707.331579074,1.1410546355532607,-0.13930799533277582,2019-03-03
62,22933.520833333332,6755669.985627178,-0.15042651062147633,-0.6070000399842241,2019-03-04
63,24013.822916666668,5689026.5434451215,-0.30837324199781685,-0.7639696225172421,2019-03-05
64,23955.697916666668,6092416.915396341,-0.31496764123220916,-0.7698317998639364,2019-03-06
65,23404.697916666668,5168343.194141986,0.1733661058461483,-0.5500516986238888,2019-03-07
66,23169.45486111111,5170491.001439702,0.5122960130035196,-0.8773076746430593,2019-03-08
67,22059.354166666668,3092029.023954704,1.006201594741063,-0.24670874198488235,2019-03-09
68,20358.354166666668,22539496.43162021,-3.114033803145663,11.632516079310612,2019-03-10
69,23658.520833333332,5656818.097125435,-0.05040655317146403,-1.0498907324543254,2019-03-11
70,22962.621527777777,5246477.539186507,0.47512289027479754,-1.0415055176853931,2019-03-12
71,22049.916666666668,5282311.052264809,0.5258942366396946,-1.08707311270475,2019-03-13
72,22709.180555555555,5124338.970770422,0.5167430592405883,-1.137939054552628,2019-03-14
73,21910.590277777777,4023690.479626403,0.4448797367179688,-1.2402631673490834,2019-03-15
74,20686.489583333332,3839917.6166158537,0.6965375982385135,-0.45602877601895253,2019-03-16
