Time,Day ahead forecast,Hour ahead forecast,Current demand
00:00,24575,24020,24054
00:05,23216,23760,23964
00:10,23216,23760,24044
00:15,23216,23760,23938
00:20,23216,23472,23750
00:25,23216,23472,23622
00:30,23216,23472,24124
00:35,23216,23384,23481
00:40,23216,23384,23956
00:45,23216,23384,23331
00:50,23216,23204,23199
00:55,23216,23204,23118
01:00,23216,23204,23038
01:05,22289,22833,22947
01:10,22289,22833,22879
01:15,22289,22833,22807
01:20,22289,22656,22768
01:25,22289,22656,22670
01:30,22289,22656,22485
01:35,22289,22427,22423
01:40,22289,22427,22374
01:45,22289,22427,22302
01:50,22289,22175,22228
01:55,22289,22175,22171
02:00,22289,22175,22096
02:05,21655,22013,21989
02:10,21655,22013,21962
02:15,21655,22013,21890
02:20,21655,21860,21850
02:25,21655,21860,21820
02:30,21655,21860,21734
02:35,21655,21629,21669
02:40,21655,21629,21587
02:45,21655,21629,21512
02:50,21655,21456,21490
02:55,21655,21456,21493
03:00,21655,21456,21473
03:05,21384,21431,21527
03:10,21384,21431,21600
03:15,21384,21431,21541
03:20,21384,21484,21505
03:25,21384,21484,21494
03:30,21384,21484,21414
03:35,21384,21427,21391
03:40,21384,21427,21414
03:45,21384,21427,21458
03:50,21384,21446,21441
03:55,21384,21446,21388
04:00,21384,21446,21391
04:05,21761,21572,21443
04:10,21761,21572,21504
04:15,21761,21572,21528
04:20,21761,21630,21550
04:25,21761,21630,21589
04:30,21761,21630,21617
04:35,21761,21731,21703
04:40,21761,21731,21716
04:45,21761,21731,21741
04:50,21761,21906,21788
04:55,21761,21906,21862
05:00,21761,21906,21935
05:05,22992,22335,22161
05:10,22992,22335,22351
05:15,22992,22335,22482
05:20,22992,22725,22651
05:25,22992,22725,22724
05:30,22992,22725,22817
05:35,22992,23109,22959
05:40,22992,23109,23095
05:45,22992,23109,23194
05:50,22992,23507,23317
05:55,22992,23507,23457
06:00,22992,23507,23679
06:05,25020,24355,23982
06:10,25020,24355,24186
06:15,25020,24355,24525
06:20,25020,24867,24757
06:25,25020,24867,24862
06:30,25020,24867,24945
06:35,25020,25204,24980
06:40,25020,25204,25083
06:45,25020,25204,25216
06:50,25020,25278,25244
06:55,25020,25278,25194
07:00,25020,25278,25212
07:05,25993,25560,25366
07:10,25993,25560,25521
07:15,25993,25560,25578
07:20,25993,25547,25655
07:25,25993,25547,25709
07:30,25993,25547,25817
07:35,25993,25686,25806
07:40,25993,25686,25885
07:45,25993,25686,25893
07:50,25993,25816,25724
07:55,25993,25816,25735
08:00,25993,25816,25651
08:05,26181,26106,25724
08:10,26181,26106,25864
08:15,26181,26106,25978
08:20,26181,26002,25952
08:25,26181,26002,25848
08:30,26181,26002,25840
08:35,26181,25893,25855
08:40,26181,25893,25840
08:45,26181,25893,25831
08:50,26181,25893,25809
08:55,26181,25893,25795
09:00,26181,25893,25785
09:05,26173,25829,25815
09:10,26173,25829,25848
09:15,26173,25829,25846
09:20,26173,25844,25855
09:25,26173,25844,25814
09:30,26173,25844,25799
09:35,26173,25831,25791
09:40,26173,25831,25807
09:45,26173,25831,25792
09:50,26173,25861,25798
09:55,26173,25861,25794
10:00,26173,25861,25775
10:05,26234,25863,25781
10:10,26234,25863,25836
10:15,26234,25863,25864
10:20,26234,25880,25796
10:25,26234,25880,25796
10:30,26234,25880,25796
10:35,26234,25859,25796
10:40,26234,25859,25796
10:45,26234,25859,25796
10:50,26234,25901,25796
10:55,26234,25901,27100
11:00,26234,25901,26493
11:05,26436,25995,25889
11:10,26436,25995,25951
11:15,26436,25995,25959
11:20,26436,25953,25999
11:25,26436,25953,26015
11:30,26436,25953,26036
11:35,26436,26107,26054
11:40,26436,26107,26042
11:45,26436,26107,26082
11:50,26436,26179,26134
11:55,26436,26179,26120
12:00,26436,26179,26114
12:05,26855,26106,26142
12:10,26855,26106,26208
12:15,26855,26106,26265
12:20,26855,26268,26337
12:25,26855,26268,26356
12:30,26855,26268,26403
12:35,26855,26545,26417
12:40,26855,26545,26485
12:45,26855,26545,26535
12:50,26855,26751,26600
12:55,26855,26751,26699
13:00,26855,26751,26789
13:05,27725,26929,26808
13:10,27725,26929,26926
13:15,27725,26929,27001
13:20,27725,27275,27091
13:25,27725,27275,27241
13:30,27725,27275,27322
13:35,27725,27490,27429
13:40,27725,27490,27500
13:45,27725,27490,27557
13:50,27725,27818,27654
13:55,27725,27818,27757
14:00,27725,27818,27866
14:05,29090,28023,27902
14:10,29090,28023,27999
14:15,29090,28023,28112
14:20,29090,28286,28208
14:25,29090,28286,28235
14:30,29090,28286,28280
14:35,29090,28493,28375
14:40,29090,28493,28492
14:45,29090,28493,28607
14:50,29090,28839,28732
14:55,29090,28839,28834
15:00,29090,28839,28876
15:05,30504,29082,29169
15:10,30504,29082,29182
15:15,30504,29082,29229
15:20,30504,29436,29384
15:25,30504,29436,29557
15:30,30504,29436,29678
15:35,30504,29767,29772
15:40,30504,29767,29888
