Time,Day ahead forecast,Hour ahead forecast,Current demand
00:00,22963,22745,22832
00:05,22361,22559,22711
00:10,22361,22559,22616
00:15,22361,22559,22558
00:20,22361,22279,22477
00:25,22361,22279,22394
00:30,22361,22279,22345
00:35,22361,22053,22254
00:40,22361,22053,22176
00:45,22361,22053,22110
00:50,22361,21825,22008
00:55,22361,21825,21947
01:00,22361,21825,21892
01:05,21520,21631,21926
01:10,21520,21631,21836
01:15,21520,21631,21742
01:20,21520,21538,21650
01:25,21520,21538,21620
01:30,21520,21538,21429
01:35,21520,21279,21247
01:40,21520,21279,21199
01:45,21520,21279,21125
01:50,21520,21055,21055
01:55,21520,21055,20999
02:00,21520,21055,20940
02:05,20966,20915,20895
02:10,20966,20915,20901
02:15,20966,20915,20852
02:20,20966,20742,20815
02:25,20966,20742,20773
02:30,20966,20742,20756
02:35,20966,20623,20741
02:40,20966,20623,20694
02:45,20966,20623,20659
02:50,20966,20597,20647
02:55,20966,20597,20596
03:00,20966,20597,20578
03:05,20868,20594,20597
03:10,20868,20594,20618
03:15,20868,20594,20614
03:20,20868,20597,20607
03:25,20868,20597,20608
03:30,20868,20597,20591
03:35,20868,20618,20606
03:40,20868,20618,20614
03:45,20868,20618,20603
03:50,20868,20763,20610
03:55,20868,20763,20628
04:00,20868,20763,20669
04:05,21339,20906,20739
04:10,21339,20906,20825
04:15,21339,20906,20881
04:20,21339,21061,20921
04:25,21339,21061,20984
04:30,21339,21061,21040
04:35,21339,21267,21114
04:40,21339,21267,21135
04:45,21339,21267,21181
04:50,21339,21692,21235
04:55,21339,21692,21312
05:00,21339,21692,21443
05:05,22743,22043,21613
05:10,22743,22043,21790
05:15,22743,22043,21942
05:20,22743,22394,22093
05:25,22743,22394,22095
05:30,22743,22394,22134
05:35,22743,22732,22301
05:40,22743,22732,22422
05:45,22743,22732,22544
05:50,22743,23306,22673
05:55,22743,23306,22765
06:00,22743,23306,22969
06:05,24912,23908,23215
06:10,24912,23908,23484
06:15,24912,23908,23669
06:20,24912,24325,23822
06:25,24912,24325,23937
06:30,24912,24325,24050
06:35,24912,24581,24175
06:40,24912,24581,24360
06:45,24912,24581,24483
06:50,24912,24959,24568
06:55,24912,24959,24687
07:00,24912,24959,24760
07:05,26341,25196,24984
07:10,26341,25196,25166
07:15,26341,25196,25242
07:20,26341,25262,25341
07:25,26341,25262,25435
07:30,26341,25262,25470
07:35,26341,25415,25525
07:40,26341,25415,25608
07:45,26341,25415,25683
07:50,26341,25737,25726
07:55,26341,25737,25751
08:00,26341,25737,25764
08:05,26117,25911,25849
08:10,26117,25911,25882
08:15,26117,25911,25954
08:20,26117,25935,25952
08:25,26117,25935,25927
08:30,26117,25935,25858
08:35,26117,25795,25840
08:40,26117,25795,25776
08:45,26117,25795,25724
08:50,26117,25570,25632
08:55,26117,25570,25693
09:00,26117,25570,25623
09:05,25198,25456,25584
09:10,25198,25456,25560
09:15,25198,25456,25463
09:20,25198,25261,25392
09:25,25198,25261,25342
09:30,25198,25261,25277
09:35,25198,25031,25166
09:40,25198,25031,25084
09:45,25198,25031,25005
09:50,25198,24947,24905
09:55,25198,24947,24814
10:00,25198,24947,24672
10:05,24441,24810,24496
10:10,24441,24810,24402
10:15,24441,24810,24251
10:20,24441,24290,24165
10:25,24441,24290,24091
10:30,24441,24290,24041
10:35,24441,23975,24008
10:40,24441,23975,23948
10:45,24441,23975,23786
10:50,24441,23529,23708
10:55,24441,23529,23654
11:00,24441,23529,23555
11:05,23921,23451,23572
11:10,23921,23451,23519
11:15,23921,23451,23476
11:20,23921,23442,23356
11:25,23921,23442,23329
11:30,23921,23442,23283
11:35,23921,23213,23231
11:40,23921,23213,23233
11:45,23921,23213,23205
11:50,23921,23119,23217
11:55,23921,23119,23196
12:00,23921,23119,23199
12:05,23657,23120,23186
12:10,23657,23120,23192
12:15,23657,23120,23129
12:20,23657,23165,23064
12:25,23657,23165,23049
12:30,23657,23165,23067
12:35,23657,23110,23030
12:40,23657,23110,23040
12:45,23657,23110,23065
12:50,23657,23192,23051
12:55,23657,23192,23108
13:00,23657,23192,23171
13:05,23676,23270,23209
13:10,23676,23270,23249
13:15,23676,23270,23281
13:20,23676,23349,23304
13:25,23676,23349,23266
13:30,23676,23349,23194
13:35,23676,23406,23214
13:40,23676,23406,23261
13:45,23676,23406,23381
13:50,23676,23476,23412
13:55,23676,23476,23567
14:00,23676,23476,23588
14:05,24041,23718,23581
14:10,24041,23718,23550
14:15,24041,23718,23606
14:20,24041,23839,23645
14:25,24041,23839,23732
14:30,24041,23839,23743
14:35,24041,24044,23789
14:40,24041,24044,23814
14:45,24041,24044,23922
14:50,24041,24176,24000
14:55,24041,24176,24129
15:00,24041,24176,24128
15:05,24786,24496,24208
15:10,24786,24496,24227
15:15,24786,24496,24328
15:20,24786,24763,24458
15:25,24786,24763,24538
15:30,24786,24763,24647
15:35,24786,25146,24700
15:40,24786,25146,24779
15:45,24786,25146,24914
15:50,24786,25228,24993
15:55,24786,25228,25042
16:00,24786,25228,25143
16:05,26479,25606,25271
16:10,26479,25606,25380
16:15,26479,25606,25549
16:20,26479,26237,25686
16:25,26479,26237,25856
16:30,26479,26237,26042
16:35,26479,27045,26210
16:40,26479,27045,26425
16:45,26479,27045,26691
16:50,26479,27926,27027
16:55,26479,27926,27358
17:00,26479,27926,27654
17:05,29057,28514,27985
17:10,29057,28514,28248
17:15,29057,28514,28492
17:20,29057,28849,28677
17:25,29057,28849,28793
17:30,29057,28849,28883
17:35,29057,29006,28993
17:40,29057,29006,29023
17:45,29057,29006,29074
17:50,29057,28987,29140
17:55,29057,28987,29160
18:00,29057,28987,29169
18:05,29161,28984,29107
18:10,29161,28984,29023
18:15,29161,28984,29012
18:20,29161,28962,28982
18:25,29161,28962,28987
18:30,29161,28962,28967
18:35,29161,28821,28918
18:40,29161,28821,28872
18:45,29161,28821,28816
18:50,29161,28626,28826
18:55,29161,28626,28785
19:00,29161,28626,28745
19:05,28585,28519,28693
19:10,28585,28519,28648
19:15,28585,28519,28619
19:20,28585,28384,28560
19:25,28585,28384,28515
19:30,28585,28384,28472
19:35,28585,28172,28435
19:40,28585,28172,28379
19:45,28585,28172,28291
19:50,28585,28008,28234
19:55,28585,28008,28156
20:00,28585,28008,28098
20:05,27694,27743,28018
20:10,27694,27743,27954
20:15,27694,27743,27908
20:20,27694,27593,27852
20:25,27694,27593,27778
20:30,27694,27593,27722
20:35,27694,27358,27615
20:40,27694,27358,27534
20:45,27694,27358,27456
20:50,27694,27100,27378
20:55,27694,27100,27312
21:00,27694,27100,27196
21:05,26523,26834,27134
21:10,26523,26834,27173
21:15,26523,26834,27111
21:20,26523,26591,27008
21:25,26523,26591,26906
21:30,26523,26591,26813
21:35,26523,26279,26698
21:40,26523,26279,26568
21:45,26523,26279,26431
21:50,26523,25908,26284
21:55,26523,25908,26119
22:00,26523,25908,25950
22:05,24716,25448,25753
22:10,24716,25448,25579
22:15,24716,25448,25460
22:20,24716,24960,25270
22:25,24716,24960,25147
22:30,24716,24960,24973
22:35,24716,24485,24845
22:40,24716,24485,24649
22:45,24716,24485,24472
22:50,24716,23918,24319
22:55,24716,23918,24184
23:00,24716,23918,24006
23:05,23097,23481,23861
23:10,23097,23481,23690
23:15,23097,23481,23536
23:20,23097,23115,23366
23:25,23097,23115,23235
23:30,23097,23115,23121
23:35,23097,22738,23001
23:40,23097,22738,22886
23:45,23097,22738,22781
23:50,23097,22455,22688
23:55,23097,22455,22538
00:00,23097,22455,
