Time,Day ahead forecast,Hour ahead forecast,Current demand
00:00,32627,28968,29005
00:05,30494,28492,28929
00:10,30494,28492,28916
00:15,30494,28492,28769
00:20,30494,28125,28608
00:25,30494,28125,28451
00:30,30494,28125,28312
00:35,30494,27680,28162
00:40,30494,27680,28029
00:45,30494,27680,27866
00:50,30494,27283,27766
00:55,30494,27283,27600
01:00,30494,27283,27443
01:05,28645,26941,27337
01:10,28645,26941,27273
01:15,28645,26941,27142
01:20,28645,26675,27005
01:25,28645,26675,26899
01:30,28645,26675,26770
01:35,28645,26354,26676
01:40,28645,26354,26534
01:45,28645,26354,26400
01:50,28645,26056,26273
01:55,28645,26056,26148
02:00,28645,26056,26022
02:05,27318,25724,26000
02:10,27318,25724,25967
02:15,27318,25724,25846
02:20,27318,25552,25779
02:25,27318,25552,25607
02:30,27318,25552,25369
02:35,27318,25247,25307
02:40,27318,25247,25331
02:45,27318,25247,25260
02:50,27318,25105,25187
02:55,27318,25105,25139
03:00,27318,25105,25084
03:05,26480,25008,25030
03:10,26480,25008,25000
03:15,26480,25008,24969
03:20,26480,24794,24936
03:25,26480,24794,24887
03:30,26480,24794,24837
03:35,26480,24699,24813
03:40,26480,24699,24766
03:45,26480,24699,24727
03:50,26480,24785,24706
03:55,26480,24785,24680
04:00,26480,24785,24660
04:05,26331,24869,24737
04:10,26331,24869,24811
04:15,26331,24869,24826
04:20,26331,24937,24834
04:25,26331,24937,24867
04:30,26331,24937,24878
04:35,26331,24990,24913
04:40,26331,24990,24932
04:45,26331,24990,24997
04:50,26331,25323,25032
04:55,26331,25323,25076
05:00,26331,25323,25155
05:05,26999,25732,25357
05:10,26999,25732,25578
05:15,26999,25732,25695
05:20,26999,26042,25636
05:25,26999,26042,25730
05:30,26999,26042,25885
05:35,26999,26242,26075
05:40,26999,26242,26169
05:45,26999,26242,26246
05:50,26999,26967,26340
05:55,26999,26967,26461
06:00,26999,26967,26632
06:05,28272,27480,26957
06:10,28272,27480,27103
06:15,28272,27480,27291
06:20,28272,27608,27430
06:25,28272,27608,27627
06:30,28272,27608,27806
06:35,28272,27784,27942
06:40,28272,27784,28040
06:45,28272,27784,28076
06:50,28272,28333,28125
06:55,28272,28333,28180
07:00,28272,28333,28234
07:05,29073,28667,28494
07:10,29073,28667,28755
07:15,29073,28667,28872
07:20,29073,29095,28977
07:25,29073,29095,29061
07:30,29073,29095,29155
07:35,29073,29448,29275
07:40,29073,29448,29439
07:45,29073,29448,29554
07:50,29073,29875,29647
07:55,29073,29875,29759
08:00,29073,29875,29885
08:05,30469,30392,30020
08:10,30469,30392,30159
08:15,30469,30392,30265
08:20,30469,30661,30310
08:25,30469,30661,30388
08:30,30469,30661,30401
08:35,30469,30797,30488
08:40,30469,30797,30558
08:45,30469,30797,30631
08:50,30469,30937,30677
08:55,30469,30937,30745
09:00,30469,30937,30821
09:05,31912,31121,30876
09:10,31912,31121,30937
09:15,31912,31121,30963
09:20,31912,31334,31020
09:25,31912,31334,31052
09:30,31912,31334,31090
09:35,31912,31378,31116
09:40,31912,31378,31164
09:45,31912,31378,31171
09:50,31912,31550,31216
09:55,31912,31550,31236
10:00,31912,31550,31234
10:05,33378,31657,31308
10:10,33378,31657,31308
10:15,33378,31657,31354
10:20,33378,31703,31397
10:25,33378,31703,31431
10:30,33378,31703,31447
10:35,33378,31769,31461
10:40,33378,31769,31464
10:45,33378,31769,31495
10:50,33378,31775,31481
10:55,33378,31775,31512
11:00,33378,31775,31532
11:05,35276,31939,31567
11:10,35276,31939,31611
11:15,35276,31939,31631
11:20,35276,32009,31654
11:25,35276,32009,31675
11:30,35276,32009,31685
11:35,35276,32073,31737
11:40,35276,32073,31787
11:45,35276,32073,31811
11:50,35276,32125,31856
11:55,35276,32125,31890
12:00,35276,32125,31902
12:05,37177,32357,31907
12:10,37177,32357,31966
12:15,37177,32357,31987
12:20,37177,32689,32046
12:25,37177,32689,32117
12:30,37177,32689,32104
12:35,37177,32755,32174
12:40,37177,32755,32247
12:45,37177,32755,32280
12:50,37177,32999,32323
12:55,37177,32999,32384
13:00,37177,32999,32448
13:05,39287,33051,32406
13:10,39287,33051,32526
13:15,39287,33051,32573
13:20,39287,33275,32628
13:25,39287,33275,32662
13:30,39287,33275,32711
13:35,39287,33141,32745
13:40,39287,33141,32824
13:45,39287,33141,32887
13:50,39287,33190,32943
13:55,39287,33190,33036
14:00,39287,33190,33110
14:05,40906,33397,33131
14:10,40906,33397,33201
14:15,40906,33397,33301
14:20,40906,33634,33387
14:25,40906,33634,33490
14:30,40906,33634,33577
14:35,40906,33747,33699
14:40,40906,33747,33785
14:45,40906,33747,33865
14:50,40906,34206,33986
14:55,40906,34206,34073
15:00,40906,34206,34129
15:05,41771,34546,34150
15:10,41771,34546,34141
15:15,41771,34546,34269
15:20,41771,34645,34317
15:25,41771,34645,34429
15:30,41771,34645,34492
15:35,41771,34882,34559
15:40,41771,34882,34614
15:45,41771,34882,34695
15:50,41771,35031,34768
15:55,41771,35031,34854
16:00,41771,35031,34880
16:05,42401,35146,34773
16:10,42401,35146,34715
16:15,42401,35146,34834
16:20,42401,35127,34863
16:25,42401,35127,34984
16:30,42401,35127,35047
16:35,42401,35202,35089
16:40,42401,35202,35133
16:45,42401,35202,35188
16:50,42401,35183,35200
16:55,42401,35183,35219
17:00,42401,35183,35223
17:05,42338,35240,35130
17:10,42338,35240,35048
17:15,42338,35240,35056
17:20,42338,35244,35099
17:25,42338,35244,35164
17:30,42338,35244,35178
17:35,42338,35149,35158
17:40,42338,35149,35162
17:45,42338,35149,35181
17:50,42338,34774,35199
17:55,42338,34774,35158
18:00,42338,34774,35154
18:05,41249,34659,34981
18:10,41249,34659,34799
18:15,41249,34659,34758
18:20,41249,34459,34714
18:25,41249,34459,34694
18:30,41249,34459,34652
18:35,41249,34399,34639
18:40,41249,34399,34570
18:45,41249,34399,34557
18:50,41249,34220,34540
18:55,41249,34220,34527
19:00,41249,34220,34520
19:05,39912,34374,34439
19:10,39912,34374,34382
19:15,39912,34374,34413
19:20,39912,34381,34454
19:25,39912,34381,34499
19:30,39912,34381,34495
19:35,39912,34285,34493
19:40,39912,34285,34458
19:45,39912,34285,34410
19:50,39912,33928,34372
19:55,39912,33928,34260
20:00,39912,33928,34174
20:05,38566,33673,34067
20:10,38566,33673,33938
20:15,38566,33673,33890
20:20,38566,33269,33827
20:25,38566,33269,33659
20:30,38566,33269,33540
20:35,38566,32885,33390
20:40,38566,32885,33211
20:45,38566,32885,33097
20:50,38566,32447,32948
20:55,38566,32447,32789
21:00,38566,32447,32604
21:05,36488,32065,32515
21:10,36488,32065,32487
21:15,36488,32065,32430
21:20,36488,31591,32304
21:25,36488,31591,32141
21:30,36488,31591,31980
21:35,36488,31156,31825
21:40,36488,31156,31679
21:45,36488,31156,31514
21:50,36488,30571,31350
21:55,36488,30571,31154
22:00,36488,30571,30935
22:05,33723,30042,30710
22:10,33723,30042,30543
22:15,33723,30042,30328
22:20,33723,29505,30117
22:25,33723,29505,29934
22:30,33723,29505,29704
22:35,33723,28899,29513
22:40,33723,28899,29288
22:45,33723,28899,29049
22:50,33723,28330,28844
22:55,33723,28330,28655
23:00,33723,28330,28421
23:05,30876,27781,28209
23:10,30876,27781,28010
23:15,30876,27781,27824
23:20,30876,27347,27647
23:25,30876,27347,27500
23:30,30876,27347,27304
23:35,30876,26763,27146
23:40,30876,26763,26958
23:45,30876,26763,26785
23:50,30876,26329,26595
23:55,30876,26329,26426
00:00,30876,26329,
