Time,Day ahead forecast,Hour ahead forecast,Current demand
00:00,22787,21426,21280
00:05,21576,21207,21184
00:10,21576,21207,21117
00:15,21576,21207,21058
00:20,21576,20975,21031
00:25,21576,20975,20938
00:30,21576,20975,20842
00:35,21576,20622,20756
00:40,21576,20622,20714
00:45,21576,20622,20626
00:50,21576,20462,20573
00:55,21576,20462,20448
01:00,21576,20462,20378
01:05,20750,20257,20326
01:10,20750,20257,20239
01:15,20750,20257,20137
01:20,20750,20059,20046
01:25,20750,20059,19996
01:30,20750,20059,19932
01:35,20750,19869,19870
01:40,20750,19869,19819
01:45,20750,19869,19731
01:50,20750,19644,19686
01:55,20750,19644,19638
02:00,20750,19644,19633
02:05,20167,19537,19545
02:10,20167,19537,19507
02:15,20167,19537,19429
02:20,20167,19412,19368
02:25,20167,19412,19340
02:30,20167,19412,19296
02:35,20167,19253,19277
02:40,20167,19253,19248
02:45,20167,19253,19210
02:50,20167,19138,19197
02:55,20167,19138,19183
03:00,20167,19138,19158
03:05,19897,19117,19137
03:10,19897,19117,19083
03:15,19897,19117,19057
03:20,19897,19053,19086
03:25,19897,19053,19077
03:30,19897,19053,19033
03:35,19897,19020,19041
03:40,19897,19020,19016
03:45,19897,19020,19029
03:50,19897,19037,18986
03:55,19897,19037,18962
04:00,19897,19037,18983
04:05,19966,19048,19013
04:10,19966,19048,19048
04:15,19966,19048,19079
04:20,19966,19095,19106
04:25,19966,19095,19136
04:30,19966,19095,19151
04:35,19966,19168,19157
04:40,19966,19168,19134
04:45,19966,19168,19163
04:50,19966,19271,19194
04:55,19966,19271,19225
05:00,19966,19271,19302
05:05,20428,19438,19364
05:10,20428,19438,19442
05:15,20428,19438,19476
05:20,20428,19612,19540
05:25,20428,19612,19566
05:30,20428,19612,19601
05:35,20428,19691,19628
05:40,20428,19691,19641
05:45,20428,19691,19625
05:50,20428,19621,19594
05:55,20428,19621,19573
06:00,20428,19621,19561
06:05,20615,19634,19578
06:10,20615,19634,19668
06:15,20615,19634,19674
06:20,20615,19675,19697
06:25,20615,19675,19685
06:30,20615,19675,19720
06:35,20615,19766,19708
06:40,20615,19766,19652
06:45,20615,19766,19619
06:50,20615,19908,19595
06:55,20615,19908,19599
07:00,20615,19908,19665
07:05,20950,19809,19685
07:10,20950,19809,19716
07:15,20950,19809,19743
07:20,20950,19967,19778
07:25,20950,19967,19698
07:30,20950,19967,19725
07:35,20950,19948,19734
07:40,20950,19948,19651
07:45,20950,19948,19709
07:50,20950,19841,19617
07:55,20950,19841,19634
08:00,20950,19841,19728
08:05,21258,19795,19827
08:10,21258,19795,20006
08:15,21258,19795,20077
08:20,21258,19800,20140
08:25,21258,19800,20118
08:30,21258,19800,20084
08:35,21258,19927,20075
08:40,21258,19927,20105
08:45,21258,19927,20083
08:50,21258,20015,20031
08:55,21258,20015,20121
09:00,21258,20015,20131
09:05,21088,20167,20213
09:10,21088,20167,20274
09:15,21088,20167,20211
09:20,21088,20161,20227
09:25,21088,20161,20269
09:30,21088,20161,20301
09:35,21088,20163,20322
09:40,21088,20163,20383
09:45,21088,20163,20385
09:50,21088,20220,20275
