Time,Day ahead forecast,Hour ahead forecast,Current demand
00:00,22796,22142,21970
00:05,21622,21844,21872
00:10,21622,21844,21805
00:15,21622,21844,21720
00:20,21622,21612,21630
00:25,21622,21612,21528
00:30,21622,21612,21416
00:35,21622,21386,21327
00:40,21622,21386,21250
00:45,21622,21386,21171
00:50,21622,21106,21097
00:55,21622,21106,21023
01:00,21622,21106,20951
01:05,20878,20953,20888
01:10,20878,20953,20861
01:15,20878,20953,20815
01:20,20878,20739,20746
01:25,20878,20739,20656
01:30,20878,20739,20625
01:35,20878,20578,20549
01:40,20878,20578,20504
01:45,20878,20578,20451
01:50,20878,20391,20401
01:55,20878,20391,20350
02:00,20878,20391,20288
02:05,20431,20293,20278
02:10,20431,20293,20312
02:15,20431,20293,20303
02:20,20431,20183,20205
02:25,20431,20183,20168
02:30,20431,20183,20123
02:35,20431,20113,20046
02:40,20431,20113,19996
02:45,20431,20113,19981
02:50,20431,20029,19838
02:55,20431,20029,19881
03:00,20431,20029,19830
03:05,20330,19947,19878
03:10,20330,19947,19872
03:15,20330,19947,19892
03:20,20330,19920,19876
03:25,20330,19920,19906
03:30,20330,19920,19931
03:35,20330,19982,19922
03:40,20330,19982,19975
03:45,20330,19982,19964
03:50,20330,20045,19957
03:55,20330,20045,19981
04:00,20330,20045,20008
04:05,20913,20246,20115
04:10,20913,20246,20148
04:15,20913,20246,20200
04:20,20913,20399,20271
04:25,20913,20399,20334
04:30,20913,20399,20382
04:35,20913,20622,20442
04:40,20913,20622,20532
04:45,20913,20622,20585
04:50,20913,20812,20672
04:55,20913,20812,20747
05:00,20913,20812,20839
05:05,22440,21327,21071
05:10,22440,21327,21334
05:15,22440,21327,21487
05:20,22440,21731,21576
05:25,22440,21731,21717
05:30,22440,21731,21812
05:35,22440,22185,21958
05:40,22440,22185,22107
05:45,22440,22185,22217
05:50,22440,22681,22333
05:55,22440,22681,22434
06:00,22440,22681,22592
06:05,24634,23431,22955
06:10,24634,23431,23270
06:15,24634,23431,23425
06:20,24634,23851,23582
06:25,24634,23851,23724
06:30,24634,23851,23799
06:35,24634,24258,23880
06:40,24634,24258,23993
06:45,24634,24258,24070
06:50,24634,24538,24153
06:55,24634,24538,24230
07:00,24634,24538,24305
07:05,25940,24703,24488
07:10,25940,24703,24647
07:15,25940,24703,24750
07:20,25940,24922,24853
07:25,25940,24922,24960
07:30,25940,24922,24990
07:35,25940,25016,25049
07:40,25940,25016,25088
07:45,25940,25016,25144
07:50,25940,25033,25174
07:55,25940,25033,25228
08:00,25940,25033,25221
08:05,26053,25389,25309
08:10,26053,25389,25379
08:15,26053,25389,25411
08:20,26053,25509,25532
08:25,26053,25509,25563
08:30,26053,25509,25573
08:35,26053,25467,25635
08:40,26053,25467,25589
08:45,26053,25467,25556
08:50,26053,25566,25574
08:55,26053,25566,25584
09:00,26053,25566,25572
09:05,25906,25525,25570
09:10,25906,25525,25608
09:15,25906,25525,25588
09:20,25906,25677,25612
09:25,25906,25677,25619
09:30,25906,25677,25659
09:35,25906,25626,25633
09:40,25906,25626,25569
09:45,25906,25626,25544
09:50,25906,25539,25532
09:55,25906,25539,25522
10:00,25906,25539,25508
10:05,25733,25463,25539
10:10,25733,25463,25526
10:15,25733,25463,25422
10:20,25733,25315,25406
10:25,25733,25315,25409
10:30,25733,25315,25362
10:35,25733,25276,25299
10:40,25733,25276,25335
10:45,25733,25276,25380
10:50,25733,25186,25400
10:55,25733,25186,25411
11:00,25733,25186,25404
11:05,25571,25420,25392
11:10,25571,25420,25395
11:15,25571,25420,25319
11:20,25571,25403,25204
11:25,25571,25403,25190
11:30,25571,25403,25125
11:35,25571,25284,25036
11:40,25571,25284,25199
11:45,25571,25284,25247
11:50,25571,25361,25240
11:55,25571,25361,25226
12:00,25571,25361,25265
12:05,25538,25204,25252
12:10,25538,25204,25200
12:15,25538,25204,25192
12:20,25538,25186,25238
12:25,25538,25186,25210
12:30,25538,25186,25223
12:35,25538,25190,25321
12:40,25538,25190,25345
12:45,25538,25190,25296
12:50,25538,25251,25322
12:55,25538,25251,25331
13:00,25538,25251,25360
13:05,25645,25347,25312
13:10,25645,25347,25349
13:15,25645,25347,25363
13:20,25645,25393,25417
13:25,25645,25393,25380
13:30,25645,25393,25394
13:35,25645,25436,25334
13:40,25645,25436,25366
13:45,25645,25436,25248
13:50,25645,25478,25199
13:55,25645,25478,25203
14:00,25645,25478,25163
14:05,25693,25193,25161
14:10,25693,25193,25125
14:15,25693,25193,25111
14:20,25693,25204,25267
14:25,25693,25204,25265
14:30,25693,25204,25239
14:35,25693,25200,25214
14:40,25693,25200,25210
14:45,25693,25200,25226
14:50,25693,25198,25213
14:55,25693,25198,25275
15:00,25693,25198,25249
15:05,26037,25353,25297
15:10,26037,25353,25309
15:15,26037,25353,25383
15:20,26037,25416,25406
15:25,26037,25416,25459
15:30,26037,25416,25503
15:35,26037,25634,25565
15:40,26037,25634,25640
15:45,26037,25634,25726
15:50,26037,25928,25867
15:55,26037,25928,25978
16:00,26037,25928,26034
16:05,26980,26142,26055
16:10,26980,26142,26160
16:15,26980,26142,26267
16:20,26980,26530,26424
16:25,26980,26530,26558
16:30,26980,26530,26712
16:35,26980,27020,26908
16:40,26980,27020,27098
16:45,26980,27020,27327
16:50,26980,27892,27589
16:55,26980,27892,27842
17:00,26980,27892,28080
17:05,29026,28732,28245
17:10,29026,28732,28388
17:15,29026,28732,28485
17:20,29026,29222,28553
17:25,29026,29222,28654
17:30,29026,29222,28689
17:35,29026,29111,28717
17:40,29026,29111,28759
17:45,29026,29111,28772
17:50,29026,29107,28761
17:55,29026,29107,28767
18:00,29026,29107,28718
18:05,29148,28662,28604
18:10,29148,28662,28503
18:15,29148,28662,28491
18:20,29148,28567,28482
18:25,29148,28567,28458
18:30,29148,28567,28442
18:35,29148,28487,28396
18:40,29148,28487,28346
18:45,29148,28487,28319
18:50,29148,28296,28304
18:55,29148,28296,28266
19:00,29148,28296,28183
19:05,28661,28080,28081
19:10,28661,28080,28041
19:15,28661,28080,27988
19:20,28661,27947,27961
19:25,28661,27947,27925
19:30,28661,27947,27861
19:35,28661,27844,27820
19:40,28661,27844,27781
19:45,28661,27844,27749
19:50,28661,27606,27699
19:55,28661,27606,27662
20:00,28661,27606,27589
20:05,27828,27465,27551
20:10,27828,27465,27479
20:15,27828,27465,27419
20:20,27828,27262,27355
20:25,27828,27262,27317
20:30,27828,27262,27240
20:35,27828,27082,27146
20:40,27828,27082,27083
20:45,27828,27082,26996
20:50,27828,26837,26902
20:55,27828,26837,26823
21:00,27828,26837,26720
21:05,26573,26532,26666
21:10,26573,26532,26583
21:15,26573,26532,26475
21:20,26573,26265,26392
21:25,26573,26265,26305
21:30,26573,26265,26246
21:35,26573,25921,26115
21:40,26573,25921,26007
21:45,26573,25921,25901
21:50,26573,25526,25791
21:55,26573,25526,25667
22:00,26573,25526,25542
22:05,24718,25055,25310
22:10,24718,25055,25140
22:15,24718,25055,24970
22:20,24718,24674,24849
22:25,24718,24674,24681
22:30,24718,24674,24551
22:35,24718,24246,24406
22:40,24718,24246,24275
22:45,24718,24246,24127
22:50,24718,23781,23979
22:55,24718,23781,23840
23:00,24718,23781,23671
23:05,23115,23453,23531
23:10,23115,23453,23366
23:15,23115,23453,23224
23:20,23115,23066,23078
23:25,23115,23066,22962
23:30,23115,23066,22839
23:35,23115,22729,22692
23:40,23115,22729,22541
23:45,23115,22729,22435
23:50,23115,22345,22326
23:55,23115,22345,22199
00:00,23115,22345,22090
