Time,Day ahead forecast,Hour ahead forecast,Current demand
00:00,30876,26308,26246
00:05,26298,25935,26204
00:10,26298,25935,26221
00:15,26298,25935,26089
00:20,26298,25588,25978
00:25,26298,25588,25842
00:30,26298,25588,25697
00:35,26298,25214,25604
00:40,26298,25214,25491
00:45,26298,25214,25358
00:50,26298,24913,25200
00:55,26298,24913,25115
01:00,26298,24913,25009
01:05,24932,24619,24966
01:10,24932,24619,24896
01:15,24932,24619,24792
01:20,24932,24381,24691
01:25,24932,24381,24607
01:30,24932,24381,24503
01:35,24932,24129,24406
01:40,24932,24129,24305
01:45,24932,24129,24227
01:50,24932,23928,24101
01:55,24932,23928,24030
02:00,24932,23928,23964
02:05,23994,23709,23896
02:10,23994,23709,23836
02:15,23994,23709,23791
02:20,23994,23540,23726
02:25,23994,23540,23649
02:30,23994,23540,23580
02:35,23994,23344,23529
02:40,23994,23344,23461
02:45,23994,23344,23397
02:50,23994,23215,23359
02:55,23994,23215,23308
03:00,23994,23215,23247
03:05,23427,23155,23233
03:10,23427,23155,23193
03:15,23427,23155,23162
03:20,23427,23041,23133
03:25,23427,23041,23092
03:30,23427,23041,23066
03:35,23427,22964,23025
03:40,23427,22964,22999
03:45,23427,22964,22976
03:50,23427,23009,22949
03:55,23427,23009,22943
04:00,23427,23009,22932
04:05,23502,23104,23001
04:10,23502,23104,23070
04:15,23502,23104,23106
04:20,23502,23188,23138
04:25,23502,23188,23136
04:30,23502,23188,23157
04:35,23502,23257,23184
04:40,23502,23257,23204
04:45,23502,23257,23234
04:50,23502,23552,23276
04:55,23502,23552,23323
05:00,23502,23552,23369
05:05,24388,23912,23546
05:10,24388,23912,23756
05:15,24388,23912,23847
05:20,24388,24188,23918
05:25,24388,24188,23957
05:30,24388,24188,24012
05:35,24388,24408,24113
05:40,24388,24408,24164
05:45,24388,24408,24255
05:50,24388,24919,24359
05:55,24388,24919,24456
06:00,24388,24919,24597
06:05,25887,25398,24930
06:10,25887,25398,25191
06:15,25887,25398,25377
06:20,25887,25657,25484
06:25,25887,25657,25530
06:30,25887,25657,25568
06:35,25887,25714,25647
06:40,25887,25714,25731
06:45,25887,25714,25749
06:50,25887,26018,25760
06:55,25887,26018,25799
07:00,25887,26018,25854
07:05,26753,26275,26076
07:10,26753,26275,26258
07:15,26753,26275,26342
07:20,26753,26491,26477
07:25,26753,26491,26532
07:30,26753,26491,26582
07:35,26753,26765,26717
07:40,26753,26765,26829
07:45,26753,26765,26835
07:50,26753,27103,26967
07:55,26753,27103,27068
08:00,26753,27103,27203
08:05,27152,27530,27403
08:10,27152,27530,27533
08:15,27152,27530,27637
08:20,27152,27820,27676
08:25,27152,27820,27754
08:30,27152,27820,27758
08:35,27152,27954,27827
08:40,27152,27954,27849
08:45,27152,27954,27901
08:50,27152,28118,27956
08:55,27152,28118,28114
09:00,27152,28118,28198
09:05,27663,28348,28232
09:10,27663,28348,28246
09:15,27663,28348,28258
09:20,27663,28418,28281
09:25,27663,28418,28279
09:30,27663,28418,28308
09:35,27663,28463,28335
09:40,27663,28463,28473
09:45,27663,28463,28533
09:50,27663,28670,28556
09:55,27663,28670,28549
10:00,27663,28670,28551
10:05,28383,28881,28538
10:10,28383,28881,28522
10:15,28383,28881,28617
10:20,28383,28809,28673
10:25,28383,28809,28734
10:30,28383,28809,28756
10:35,28383,28936,28780
10:40,28383,28936,28888
10:45,28383,28936,28931
10:50,28383,29124,28928
10:55,28383,29124,28991
11:00,28383,29124,29012
11:05,29410,29334,29034
11:10,29410,29334,29063
11:15,29410,29334,29203
11:20,29410,29576,29251
11:25,29410,29576,29284
11:30,29410,29576,29391
11:35,29410,29685,29428
11:40,29410,29685,29419
11:45,29410,29685,29537
11:50,29410,29775,29520
11:55,29410,29775,29525
12:00,29410,29775,29624
12:05,30721,29924,29674
12:10,30721,29924,29784
12:15,30721,29924,29893
12:20,30721,30288,29967
12:25,30721,30288,29944
12:30,30721,30288,30037
12:35,30721,30537,30041
12:40,30721,30537,30153
12:45,30721,30537,30256
12:50,30721,30623,30265
12:55,30721,30623,30329
13:00,30721,30623,30451
13:05,32555,30823,30433
13:10,32555,30823,30604
13:15,32555,30823,30682
13:20,32555,31375,30715
13:25,32555,31375,30830
13:30,32555,31375,30938
13:35,32555,31450,31017
13:40,32555,31450,31130
13:45,32555,31450,31259
13:50,32555,31495,31379
13:55,32555,31495,31409
14:00,32555,31495,31499
14:05,34408,31892,31575
14:10,34408,31892,31673
14:15,34408,31892,31773
14:20,34408,32287,32003
14:25,34408,32287,32047
14:30,34408,32287,32076
14:35,34408,32640,32104
14:40,34408,32640,32205
14:45,34408,32640,32381
14:50,34408,32805,32456
14:55,34408,32805,32488
15:00,34408,32805,32552
15:05,35944,33056,32581
15:10,35944,33056,32573
15:15,35944,33056,32683
15:20,35944,33193,32724
15:25,35944,33193,32829
15:30,35944,33193,32892
15:35,35944,33341,32923
15:40,35944,33341,32978
15:45,35944,33341,33064
15:50,35944,33395,33139
15:55,35944,33395,33176
16:00,35944,33395,33216
16:05,37185,33422,33058
16:10,37185,33422,33125
16:15,37185,33422,33087
16:20,37185,33338,33110
16:25,37185,33338,33293
16:30,37185,33338,33307
16:35,37185,33519,33303
16:40,37185,33519,33374
16:45,37185,33519,33435
16:50,37185,33419,33461
16:55,37185,33419,33486
17:00,37185,33419,33548
17:05,37566,33529,33468
17:10,37566,33529,33401
17:15,37566,33529,33484
17:20,37566,33518,33540
17:25,37566,33518,33545
17:30,37566,33518,33567
17:35,37566,33609,33569
17:40,37566,33609,33529
17:45,37566,33609,33528
17:50,37566,33246,33542
17:55,37566,33246,33514
18:00,37566,33246,33466
18:05,37026,33017,33292
18:10,37026,33017,33125
18:15,37026,33017,33061
18:20,37026,32991,32987
18:25,37026,32991,32979
18:30,37026,32991,32921
18:35,37026,32859,32902
18:40,37026,32859,32866
18:45,37026,32859,32846
18:50,37026,32763,32841
18:55,37026,32763,32809
19:00,37026,32763,32865
19:05,36379,32899,32762
19:10,36379,32899,32727
19:15,36379,32899,32670
19:20,36379,32861,32696
19:25,36379,32861,32722
19:30,36379,32861,32658
19:35,36379,32575,32640
19:40,36379,32575,32589
19:45,36379,32575,32526
19:50,36379,32215,32430
19:55,36379,32215,32323
20:00,36379,32215,32226
20:05,35040,31901,32092
20:10,35040,31901,32097
20:15,35040,31901,31982
20:20,35040,31555,31853
20:25,35040,31555,31703
20:30,35040,31555,31600
20:35,35040,31119,31443
20:40,35040,31119,31333
20:45,35040,31119,31139
20:50,35040,30693,31030
20:55,35040,30693,30806
21:00,35040,30693,30672
21:05,33083,30221,30588
21:10,33083,30221,30544
21:15,33083,30221,30402
21:20,33083,29729,30275
21:25,33083,29729,30105
21:30,33083,29729,29951
21:35,33083,29243,29779
21:40,33083,29243,29580
21:45,33083,29243,29419
21:50,33083,28715,29249
21:55,33083,28715,29062
22:00,33083,28715,28822
22:05,30295,28153,28599
22:10,30295,28153,28494
22:15,30295,28153,28329
22:20,30295,27643,28098
22:25,30295,27643,27921
22:30,30295,27643,27754
22:35,30295,27114,27537
22:40,30295,27114,27333
22:45,30295,27114,27128
22:50,30295,26522,26907
22:55,30295,26522,26738
23:00,30295,26522,26553
23:05,27739,25976,26407
23:10,27739,25976,26292
23:15,27739,25976,26149
23:20,27739,25555,25941
23:25,27739,25555,25763
23:30,27739,25555,25651
23:35,27739,25101,25468
23:40,27739,25101,25335
23:45,27739,25101,25136
23:50,27739,24762,24981
23:55,27739,24762,24842
00:00,27739,24762,
