Time,Day ahead forecast,Hour ahead forecast,Current demand
00:00,24596,23624,23613
00:05,22916,23381,23514
00:10,22916,23381,23446
00:15,22916,23381,23362
00:20,22916,23092,23272
00:25,22916,23092,23170
00:30,22916,23092,23057
00:35,22916,22789,22964
00:40,22916,22789,22893
00:45,22916,22789,22810
00:50,22916,22520,22726
00:55,22916,22520,22634
01:00,22916,22520,22546
01:05,22015,22314,22493
01:10,22015,22314,22408
01:15,22015,22314,22353
01:20,22015,22113,22294
01:25,22015,22113,22231
01:30,22015,22113,22162
01:35,22015,21941,22116
01:40,22015,21941,22046
01:45,22015,21941,21991
01:50,22015,21809,21937
01:55,22015,21809,21870
02:00,22015,21809,21824
02:05,21517,21722,21790
02:10,21517,21722,21765
02:15,21517,21722,21707
02:20,21517,21606,21661
02:25,21517,21606,21621
02:30,21517,21606,21572
02:35,21517,21491,21541
02:40,21517,21491,21521
02:45,21517,21491,21493
02:50,21517,21447,21464
02:55,21517,21447,21433
03:00,21517,21447,21387
03:05,21332,21433,21415
03:10,21332,21433,21414
03:15,21332,21433,21389
03:20,21332,21423,21399
03:25,21332,21423,21387
03:30,21332,21423,21380
03:35,21332,21430,21374
03:40,21332,21430,21381
03:45,21332,21430,21373
03:50,21332,21563,21407
03:55,21332,21563,21409
04:00,21332,21563,21441
04:05,21749,21740,21530
04:10,21749,21740,21651
04:15,21749,21740,21723
04:20,21749,21904,21794
04:25,21749,21904,21814
04:30,21749,21904,21856
04:35,21749,22155,21961
04:40,21749,22155,22005
04:45,21749,22155,22072
04:50,21749,22564,22138
04:55,21749,22564,22189
05:00,21749,22564,22294
05:05,23053,22973,22534
05:10,23053,22973,22783
05:15,23053,22973,22956
05:20,23053,23366,23022
05:25,23053,23366,23129
05:30,23053,23366,23214
05:35,23053,23706,23343
05:40,23053,23706,23477
05:45,23053,23706,23553
05:50,23053,24377,23566
05:55,23053,24377,23746
06:00,23053,24377,23917
06:05,25132,24891,24307
06:10,25132,24891,24625
06:15,25132,24891,24739
06:20,25132,25428,24871
06:25,25132,25428,25027
06:30,25132,25428,25115
06:35,25132,25654,25282
06:40,25132,25654,25413
06:45,25132,25654,25484
06:50,25132,26038,25552
06:55,25132,26038,25621
07:00,25132,26038,25748
07:05,26434,26321,25950
07:10,26434,26321,26166
07:15,26434,26321,26199
07:20,26434,26456,26290
07:25,26434,26456,26331
07:30,26434,26456,26345
07:35,26434,26507,26324
07:40,26434,26507,26348
07:45,26434,26507,26377
07:50,26434,26603,26405
07:55,26434,26603,26360
08:00,26434,26603,26438
08:05,26938,26710,26420
08:10,26938,26710,26469
08:15,26938,26710,26474
08:20,26938,26665,26485
08:25,26938,26665,26519
08:30,26938,26665,26430
08:35,26938,26584,26365
08:40,26938,26584,26295
08:45,26938,26584,26246
08:50,26938,26316,26336
08:55,26938,26316,26317
09:00,26938,26316,26262
09:05,27003,26377,26264
09:10,27003,26377,26305
09:15,27003,26377,26195
09:20,27003,26146,26114
09:25,27003,26146,26039
09:30,27003,26146,26000
09:35,27003,25893,25847
09:40,27003,25893,25756
09:45,27003,25893,25736
09:50,27003,25647,25695
09:55,27003,25647,25692
10:00,27003,25647,25694
10:05,26622,25613,25624
10:10,26622,25613,25575
10:15,26622,25613,25502
10:20,26622,25450,25496
10:25,26622,25450,25479
10:30,26622,25450,25405
10:35,26622,25376,25386
10:40,26622,25376,25378
10:45,26622,25376,25306
10:50,26622,25251,25257
10:55,26622,25251,25306
11:00,26622,25251,25264
11:05,26326,25221,25213
11:10,26326,25221,25200
11:15,26326,25221,25188
11:20,26326,25197,25235
11:25,26326,25197,25227
11:30,26326,25197,25174
11:35,26326,25235,25192
11:40,26326,25235,25239
11:45,26326,25235,25259
11:50,26326,25292,25286
11:55,26326,25292,25309
12:00,26326,25292,25290
12:05,26334,25407,25385
12:10,26334,25407,25400
12:15,26334,25407,25408
12:20,26334,25483,25385
12:25,26334,25483,25388
12:30,26334,25483,25483
12:35,26334,25574,25499
12:40,26334,25574,25527
12:45,26334,25574,25599
12:50,26334,25709,25621
12:55,26334,25709,25661
13:00,26334,25709,25656
13:05,26439,25828,25548
13:10,26439,25828,25618
13:15,26439,25828,25721
13:20,26439,25871,25695
13:25,26439,25871,25738
13:30,26439,25871,25832
13:35,26439,26084,25912
13:40,26439,26084,25865
13:45,26439,26084,25913
13:50,26439,26154,25990
13:55,26439,26154,26089
14:00,26439,26154,26054
14:05,26460,26304,26084
14:10,26460,26304,26126
14:15,26460,26304,26140
14:20,26460,26368,26180
14:25,26460,26368,26236
14:30,26460,26368,26274
14:35,26460,26500,26321
14:40,26460,26500,26413
14:45,26460,26500,26433
14:50,26460,26721,26515
14:55,26460,26721,26535
15:00,26460,26721,26537
15:05,26668,26826,26553
15:10,26668,26826,26598
15:15,26668,26826,26648
15:20,26668,26945,26738
15:25,26668,26945,26777
15:30,26668,26945,26811
15:35,26668,27167,26857
15:40,26668,27167,26691
15:45,26668,27167,26749
15:50,26668,27119,26769
15:55,26668,27119,26803
16:00,26668,27119,26817
16:05,27747,27328,26876
16:10,27747,27328,26993
16:15,27747,27328,27094
16:20,27747,27775,27240
16:25,27747,27775,27385
16:30,27747,27775,27523
16:35,27747,28513,27693
16:40,27747,28513,27873
16:45,27747,28513,28102
16:50,27747,29264,28320
16:55,27747,29264,28506
17:00,27747,29264,28714
17:05,29975,29660,28891
17:10,29975,29660,28990
17:15,29975,29660,29098
17:20,29975,29717,29180
17:25,29975,29717,29274
17:30,29975,29717,29335
17:35,29975,29600,29353
17:40,29975,29600,29339
17:45,29975,29600,29375
17:50,29975,29296,29355
17:55,29975,29296,29360
18:00,29975,29296,29336
18:05,29926,29159,29222
18:10,29926,29159,29192
18:15,29926,29159,29217
18:20,29926,29083,29159
18:25,29926,29083,29149
18:30,29926,29083,29112
18:35,29926,29052,29079
18:40,29926,29052,28977
18:45,29926,29052,28969
18:50,29926,28802,28948
18:55,29926,28802,28908
19:00,29926,28802,28860
19:05,29185,28651,28797
19:10,29185,28651,28708
19:15,29185,28651,28652
19:20,29185,28510,28618
19:25,29185,28510,28589
19:30,29185,28510,28535
19:35,29185,28353,28476
19:40,29185,28353,28417
19:45,29185,28353,28404
19:50,29185,28094,28364
19:55,29185,28094,28305
20:00,29185,28094,28262
20:05,28146,27979,28158
20:10,28146,27979,28116
20:15,28146,27979,28028
20:20,28146,27783,27980
20:25,28146,27783,27903
20:30,28146,27783,27807
20:35,28146,27528,27742
20:40,28146,27528,27680
20:45,28146,27528,27625
20:50,28146,27314,27564
20:55,28146,27314,27489
21:00,28146,27314,27392
21:05,26984,27149,27307
21:10,26984,27149,27213
21:15,26984,27149,27120
21:20,26984,26804,27068
21:25,26984,26804,26953
21:30,26984,26804,26870
21:35,26984,26439,26765
21:40,26984,26439,26628
21:45,26984,26439,26548
21:50,26984,26022,26400
21:55,26984,26022,26256
22:00,26984,26022,26126
22:05,25206,25570,25870
22:10,25206,25570,25696
22:15,25206,25570,25582
22:20,25206,25121,25437
22:25,25206,25121,25279
22:30,25206,25121,25143
22:35,25206,24661,24999
22:40,25206,24661,24844
22:45,25206,24661,24721
22:50,25206,24154,24575
22:55,25206,24154,24447
23:00,25206,24154,24283
23:05,23507,23783,24101
23:10,23507,23783,23972
23:15,23507,23783,23810
23:20,23507,23414,23653
23:25,23507,23414,23528
23:30,23507,23414,23381
23:35,23507,23047,23247
23:40,23507,23047,23105
23:45,23507,23047,22992
23:50,23507,22688,22878
23:55,23507,22688,22753
00:00,23507,22688,22753
