Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other
00:00,-37,3034,855,261,219,184,21,2265,6627,482,-215,10007,0
00:05,-37,2989,855,264,219,185,21,2264,6954,192,-220,10311,0
00:10,-37,2902,854,262,219,177,22,2265,7036,148,-136,10307,0
00:15,-37,2862,854,261,219,175,21,2264,7037,129,-117,10293,0
00:20,-37,2858,852,260,220,173,21,2264,6994,107,-109,10283,0
00:25,-37,2869,852,263,220,172,20,2264,7034,42,-198,10271,0
00:30,-37,2872,853,262,220,171,21,2265,7122,58,-199,10153,0
00:35,-37,2887,852,261,220,172,21,2265,7099,23,-220,10086,0
00:40,-37,2914,851,262,220,173,21,2265,7113,-53,-244,10084,0
00:45,-37,2970,852,261,219,173,20,2266,7195,-92,-341,10165,0
00:50,-37,2984,853,261,218,174,21,2266,7367,-355,-273,10241,0
00:55,-37,3001,852,259,217,155,21,2266,7349,-352,-223,10174,0
01:00,-36,2999,852,258,218,133,21,2267,7315,-353,-226,10193,0
01:05,-39,3026,852,257,218,133,20,2266,7209,-379,-420,10592,0
01:10,-38,3061,852,256,217,130,20,2265,7218,-350,-479,10668,0
01:15,-38,3049,852,257,218,130,20,2266,7149,-364,-478,10629,0
01:20,-41,3013,853,256,219,131,20,2266,7054,-364,-470,10664,0
01:25,-39,2977,853,260,217,132,21,2266,6973,-364,-468,10732,0
01:30,-39,2978,852,259,218,133,21,2266,6961,-349,-460,10696,0
01:35,-38,3002,853,260,218,132,21,2267,6936,-361,-472,10681,0
01:40,-37,2967,852,258,218,132,21,2266,6927,-360,-471,10692,0
01:45,-37,2983,852,258,217,132,21,2266,6916,-362,-478,10664,0
01:50,-37,2992,852,261,217,131,21,2266,6927,-368,-539,10696,0
01:55,-37,2978,852,260,218,130,21,2265,6935,-365,-531,10685,0
02:00,-37,2979,852,258,218,131,20,2266,6932,-369,-539,10673,0
02:05,-37,3009,853,259,217,131,21,2266,6946,-364,-535,10594,0
02:10,-37,3013,852,260,218,130,21,2266,6958,-347,-540,10544,0
02:15,-37,3053,854,261,218,129,21,2266,6972,-347,-540,10450,0
02:20,-37,3081,854,261,219,128,21,2267,6765,-49,-543,10090,0
02:25,-37,3080,855,262,219,128,21,2266,6466,-63,-543,10158,0
02:30,-37,3087,855,262,219,129,21,2266,6462,-52,-534,10146,0
02:35,-37,3089,855,263,219,129,21,2266,6344,163,-601,9988,0
02:40,-37,3043,854,263,219,131,21,2266,6125,279,-597,9965,0
02:45,-37,3001,854,264,219,132,21,2266,6042,288,-548,9890,0
02:50,-37,2960,855,265,218,132,21,2266,6089,294,-528,9803,0
02:55,-37,2932,855,267,219,133,21,2265,6144,287,-529,9723,0
03:00,-37,2943,856,266,219,133,21,2266,6163,278,-532,9687,0
