Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural gas,Large hydro,Batteries,Imports,Other
00:00,-37,3792,916,340,210,229,11,2258,9828,1784,-1,6544,0
00:05,-37,3794,915,344,210,219,12,2259,9891,1679,17,6536,0
00:10,-37,3790,909,350,210,213,11,2259,9958,1653,35,6403,0
00:15,-36,3803,916,353,210,213,11,2259,9868,1648,27,6369,0
00:20,-37,3812,916,358,210,212,10,2258,9829,1627,2,6322,0
00:25,-36,3799,915,359,211,212,11,2258,9781,1637,5,6269,0
00:30,-37,3785,916,359,211,212,11,2258,9641,1627,6,6300,0
00:35,-37,3789,915,359,211,212,11,2258,9505,1617,7,6318,0
00:40,-36,3793,916,358,211,212,11,2258,9423,1615,16,6276,0
00:45,-36,3826,916,358,211,212,11,2258,9271,1617,15,6275,0
00:50,-36,3851,917,359,211,212,11,2258,9158,1612,19,6262,0
00:55,-36,3867,917,361,211,200,12,2258,9119,1622,21,6203,0
01:00,-36,3886,917,363,212,184,11,2258,9103,1617,18,6108,0
01:05,-36,3882,917,361,211,172,11,2258,8954,1610,3,6271,0
01:10,-36,3873,918,360,212,173,11,2258,8934,1616,-9,6254,0
01:15,-36,3878,917,360,211,172,11,2257,8957,1618,-18,6116,0
01:20,-36,3880,917,361,211,173,11,2258,8887,1601,-33,6136,0
01:25,-36,3889,918,361,211,172,11,2257,8803,1593,-37,6115,0
01:30,-36,3923,918,361,212,172,11,2258,8757,1578,-41,6082,0
01:35,-36,3920,917,360,211,171,10,2258,8716,1580,-38,6040,0
01:40,-36,3919,917,361,211,171,11,2258,8674,1583,-32,5963,0
01:45,-36,3930,918,362,212,171,11,2259,8751,1598,-20,5848,0
01:50,-36,3931,918,362,211,171,11,2258,8753,1600,-18,5788,0
01:55,-36,3922,918,362,211,171,11,2258,8623,1605,-18,5788,0
02:00,-36,3922,918,361,211,171,11,2258,8466,1602,-18,5842,0
02:05,-36,3930,917,361,211,171,11,2258,8422,1542,-20,5851,0
02:10,-36,3944,918,362,211,171,12,2256,8401,1546,-17,5831,0
02:15,-36,3958,917,362,211,172,12,2257,8143,1539,-20,6029,0
02:20,-36,3970,917,362,211,171,12,2258,8031,1530,-18,6091,0
02:25,-36,3989,918,363,211,171,11,2258,7994,1529,-17,6067,0
02:30,-36,4007,920,363,211,171,11,2258,7970,1531,-15,5970,0
02:35,-36,4010,919,362,211,173,11,2258,7955,1529,-18,5921,0
02:40,-36,4002,917,363,211,174,10,2258,7924,1522,-16,5920,0
02:45,-36,3997,917,364,211,173,11,2258,7853,1511,7,5897,0
02:50,-36,3985,917,364,211,173,11,2258,7815,1512,5,5890,0
02:55,-37,3972,918,363,211,174,11,2258,7800,1522,6,5838,0
03:00,-38,3952,917,365,211,175,12,2257,7768,1536,6,5822,0
03:05,-38,3921,919,365,211,176,11,2258,7594,1528,12,5991,0
03:10,-38,3910,920,365,211,176,11,2258,7482,1531,9,6089,0
03:15,-38,3887,919,364,211,176,11,2258,7476,1526,8,6082,0
03:20,-38,3863,919,363,211,176,11,2259,7461,1536,8,6071,0
03:25,-38,3841,921,362,211,176,10,2258,7477,1529,6,6055,0
03:30,-38,3806,920,363,211,175,10,2258,7482,1522,2,6055,0
03:35,-38,3780,920,364,211,175,10,2259,7488,1522,6,6065,0
03:40,-38,3752,920,364,211,175,11,2258,7492,1529,10,6063,0
03:45,-38,3735,920,364,211,175,11,2259,7470,1528,3,6083,0
03:50,-38,3697,919,364,211,175,11,2258,7524,1539,9,6041,0
03:55,-38,3671,919,366,211,178,10,2259,7502,1534,8,6073,0
04:00,-38,3644,920,365,211,183,11,2258,7547,1540,6,6062,0
04:05,-38,3621,921,365,211,200,10,2258,7553,1570,10,6081,0
04:10,-38,3609,919,365,211,228,11,2258,7518,1589,11,6112,0
04:15,-38,3614,920,365,211,228,10,2258,7581,1575,10,6123,0
04:20,-39,3591,921,365,211,228,11,2259,7610,1579,7,6151,0
04:25,-39,3547,921,364,211,228,10,2258,7589,1579,6,6206,0
04:30,-39,3514,920,364,211,228,11,2259,7704,1572,5,6226,0
04:35,-39,3494,921,366,211,228,11,2259,7738,1572,4,6179,0
04:40,-39,3468,920,364,211,228,11,2259,7796,1577,6,6171,0
04:45,-39,3429,919,364,211,228,10,2258,7812,1583,6,6227,0
04:50,-39,3408,921,364,211,229,11,2259,7812,1580,6,6269,0
04:55,-39,3367,921,365,211,229,10,2258,7870,1585,3,6302,0
05:00,-39,3333,920,365,211,229,11,2257,7958,1599,-1,6308,0
05:05,-39,3288,920,366,211,228,11,2258,8002,1713,5,6420,0
05:10,-39,3264,920,365,210,229,12,2258,8000,1812,11,6497,0
05:15,-39,3229,919,366,210,230,12,2258,8093,1776,6,6566,0
05:20,-39,3214,920,367,211,230,12,2258,8150,1792,6,6570,0
05:25,-39,3198,921,367,210,230,11,2258,8237,1774,4,6576,0
05:30,-39,3154,920,367,210,229,11,2257,8369,1774,2,6564,0
05:35,-39,3108,921,366,210,229,11,2259,8501,1774,2,6574,0
05:40,-39,3058,921,367,210,229,11,2258,8744,1769,1,6494,0
05:45,-39,3003,920,366,210,229,10,2258,8874,1776,1,6475,0
05:50,-39,2960,921,365,210,229,11,2259,8891,1791,3,6555,0
05:55,-39,2883,921,363,210,230,10,2258,9093,1768,2,6555,0
06:00,-40,2816,921,366,210,229,9,2259,9308,1754,0,6573,0
06:05,-40,2758,922,366,210,228,10,2259,9411,2058,5,6622,0
06:10,-40,2705,922,364,210,228,10,2258,9298,2202,5,6815,0
06:15,-40,2643,921,368,211,229,10,2259,9383,2192,-10,6926,0
06:20,-39,2626,921,368,210,230,11,2259,9502,2190,-41,6940,0
06:25,-33,2581,922,368,211,230,10,2259,9621,2177,-49,6942,0
06:30,-8,2517,921,367,210,230,10,2259,9688,2156,-35,6933,0
06:35,32,2467,919,368,210,230,10,2259,9773,2163,-12,6889,0
06:40,102,2448,920,370,210,230,11,2260,9817,2168,-6,6813,0
06:45,217,2421,919,369,210,231,11,2259,9790,2154,-5,6833,0
06:50,363,2376,913,370,209,231,10,2260,9758,2147,-9,6796,0
06:55,556,2342,918,371,209,231,10,2259,9670,2164,-5,6702,0
07:00,798,2308,918,370,209,231,10,2260,9792,2120,-1,6459,0
07:05,1113,2280,917,369,209,232,10,2260,9938,1896,1,6384,0
07:10,1411,2270,917,369,209,232,11,2261,10134,1882,3,6143,0
07:15,1750,2242,917,366,209,232,10,2259,10043,1883,2,6026,0
07:20,2131,2193,917,366,209,232,11,2260,9985,1875,1,5887,0
07:25,2504,2133,916,369,209,232,11,2260,9923,1888,1,5656,0
07:30,2944,2056,913,371,209,233,11,2260,9823,1894,1,5408,0
07:35,3372,2020,911,370,209,233,11,2260,9752,1890,-1,5218,0
07:40,3762,1961,909,370,209,233,12,2260,9685,1913,5,4960,0
07:45,4194,1904,908,369,210,234,12,2260,9517,1902,-6,4842,0
07:50,4629,1841,908,370,209,233,11,2260,9406,1882,-8,4688,0
07:55,5025,1800,907,371,209,219,12,2260,9309,1880,-7,4516,0
08:00,5417,1734,905,371,210,203,12,2260,9259,1781,-8,4339,0
08:05,5832,1651,904,370,207,189,12,2260,9206,1399,-14,4761,0
08:10,6252,1580,903,370,206,182,12,2260,9292,1309,-14,4734,0
08:15,6648,1512,902,370,205,176,11,2260,9209,1304,-14,4532,0
08:20,7085,1431,900,368,204,174,11,2261,9149,1307,-15,4338,0
08:25,7444,1351,899,370,205,173,11,2259,9203,1310,-16,4054,0
08:30,7734,1289,899,369,205,174,11,2260,9162,1303,-15,3843,0
08:35,8014,1224,899,368,206,174,11,2260,9053,1288,-19,3761,0
08:40,8284,1171,900,369,206,173,11,2260,8995,1285,-16,3670,0
08:45,8522,1122,901,368,206,173,11,2260,8970,1273,-14,3592,0
08:50,8671,1070,901,368,207,173,11,2261,8979,1275,-16,3528,0
08:55,8851,1013,901,370,206,174,11,2260,8981,1279,-19,3418,0
09:00,9034,967,900,369,207,174,11,2260,8960,1296,-21,3308,0
09:05,9215,934,900,370,206,173,11,2260,8761,1352,-27,3359,0
