Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other
00:00,-43,2675,914,302,210,155,17,2261,11011,1144,-74,8168,0
00:05,-42,2556,913,303,210,151,18,2262,10774,1068,36,8261,0
00:10,-42,2699,914,302,210,143,17,2262,10586,1057,63,8247,0
00:15,-42,2675,914,303,210,141,17,2262,10520,1023,-36,8281,0
00:20,-42,2604,913,301,210,141,17,2262,10611,982,21,8168,0
00:25,-43,2679,913,301,210,141,17,2263,10537,953,-2,8111,0
00:30,-42,2695,914,301,210,141,17,2262,10428,950,-54,8132,0
00:35,-42,2711,914,301,210,141,18,2263,10345,947,-93,8144,0
00:40,-42,2738,913,301,210,141,18,2262,10197,938,-83,8148,0
00:45,-42,2765,913,303,210,142,16,2263,9991,937,-61,8134,0
00:50,-42,2811,914,303,210,142,17,2262,9700,943,-33,8222,0
00:55,-42,2826,914,303,211,142,17,2263,9436,970,19,8249,0
01:00,-42,2826,914,302,211,142,17,2263,9327,987,61,8165,0
01:05,-42,2830,913,303,210,141,17,2263,9411,872,-10,8097,0
01:10,-42,2864,913,303,210,141,17,2264,9448,844,-99,8133,0
01:15,-42,2864,914,303,210,141,17,2263,9512,845,-135,8082,0
01:20,-42,2857,913,302,210,141,17,2264,9501,838,-128,7990,0
01:25,-42,2863,914,303,210,141,17,2264,9473,836,-127,7922,0
01:30,-42,2851,914,300,210,141,17,2264,9352,834,-126,7952,0
01:35,-42,2851,913,301,210,141,17,2264,9229,829,-146,7954,0
01:40,-42,2851,913,302,210,141,17,2264,9109,823,-148,8026,0
01:45,-42,2857,912,302,210,141,18,2264,8992,827,-156,8047,0
01:50,-42,2858,912,302,211,141,18,2265,8937,829,-161,8009,0
01:55,-42,2853,912,302,211,141,18,2265,8946,839,-157,7919,0
02:00,-42,2873,911,301,211,141,19,2265,8972,839,-141,7771,0
02:05,-42,2900,912,302,210,141,18,2263,8847,842,-162,7800,0
02:10,-43,2916,912,303,208,141,19,2264,8828,842,-141,7716,0
02:15,-42,2918,912,302,209,141,19,2264,8757,838,-168,7758,0
02:20,-42,2910,913,301,206,141,18,2264,8691,837,-154,7772,0
02:25,-42,2919,912,301,208,141,18,2264,8618,834,-130,7715,0
02:30,-42,2910,912,302,211,141,19,2265,8574,832,-144,7728,0
02:35,-42,2796,913,300,211,142,19,2265,8563,831,-126,7703,0
02:40,-42,2576,912,299,211,142,18,2266,8472,842,-83,7632,0
02:45,-42,2549,911,296,211,142,18,2265,8568,835,-135,7633,0
02:50,-42,2527,912,296,211,141,18,2266,8550,826,-146,7608,0
02:55,-42,2514,912,297,211,141,18,2265,8464,826,-146,7646,0
03:00,-42,2514,913,296,210,141,18,2266,8428,827,-152,7636,0
03:05,-42,2521,912,288,210,141,19,2266,8290,828,-120,7696,0
03:10,-42,2503,912,295,210,141,19,2265,8248,835,-45,7640,0
03:15,-42,2478,912,295,211,141,19,2264,8118,838,-40,7698,0
03:20,-42,2449,912,297,211,141,19,2266,8072,829,-38,7769,0
03:25,-42,2430,912,297,211,141,19,2265,8023,827,-38,7816,0
03:30,-42,2397,912,298,211,141,20,2264,8017,836,-37,7809,0
03:35,-42,2382,913,298,211,142,20,2264,7963,839,-36,7800,0
03:40,-42,2357,913,296,211,142,20,2264,7970,842,-36,7826,0
03:45,-42,2346,913,295,211,142,20,2263,7943,838,-37,7812,0
03:50,-42,2337,913,296,211,142,20,2263,7966,836,-37,7794,0
03:55,-42,2328,912,297,211,142,20,2263,7991,838,-43,7750,0
04:00,-42,2324,913,292,211,142,20,2263,8049,838,-44,7700,0
04:05,-42,2402,913,291,211,142,20,2263,8129,843,-81,7792,0
04:10,-42,2506,912,292,211,141,20,2263,8187,838,-84,7886,0
04:15,-43,2473,912,294,211,141,20,2264,8164,840,-85,7946,0
04:20,-42,2413,913,296,211,141,21,2263,8144,844,-77,8006,0
04:25,-43,2356,913,296,211,141,21,2263,8149,850,-67,8018,0
04:30,-44,2318,912,299,211,142,20,2263,8269,841,-68,7965,0
