Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural gas,Large hydro,Batteries,Imports,Other
00:00,0,2929,959,354,228,396,9,2252,7402,2922,0,6908,0
00:05,0,2933,959,354,229,393,9,2253,7329,2867,39,6874,0
00:10,0,2938,959,356,229,389,9,2252,7160,2906,2,6917,0
00:15,0,2979,958,354,229,389,9,2251,6942,2919,-18,6998,0
00:20,0,3015,959,354,229,389,8,2251,6870,2913,-16,6909,0
00:25,0,3029,959,355,229,388,9,2251,6848,2915,-14,6763,0
00:30,0,3027,959,356,229,388,9,2251,6786,2869,-32,6772,0
00:35,0,3016,959,357,229,387,9,2252,6670,2843,-5,6799,0
00:40,0,2987,960,359,229,387,9,2251,6579,2839,2,6818,0
00:45,0,2968,960,358,228,388,8,2250,6425,2835,2,6869,0
00:50,0,2942,961,358,228,388,9,2251,6331,2840,2,6905,0
00:55,0,2934,960,359,228,387,9,2250,6245,2799,2,6884,0
01:00,0,2939,959,359,228,387,9,2251,6208,2752,2,6854,0
01:05,0,2935,960,359,228,387,9,2251,6237,2690,1,6809,0
01:10,0,2917,960,359,229,387,8,2252,6146,2689,0,6824,0
01:15,0,2916,960,357,228,387,9,2251,6063,2676,0,6866,0
01:20,0,2896,960,358,228,387,8,2251,5948,2669,0,6916,0
01:25,0,2876,961,358,228,387,8,2251,5918,2663,0,6908,0
01:30,0,2863,961,360,229,388,8,2251,5873,2653,0,6871,0
01:35,0,2860,957,359,229,388,8,2252,5845,2568,-1,6876,0
01:40,0,2831,961,358,229,388,8,2252,5843,2559,-1,6889,0
01:45,0,2808,962,359,228,388,8,2252,5906,2573,-15,6796,0
01:50,0,2791,960,359,228,388,9,2252,5804,2570,-1,6796,0
01:55,0,2785,961,359,228,388,8,2251,5781,2563,-10,6791,0
02:00,0,2769,961,361,228,389,9,2250,5809,2521,-19,6792,0
02:05,0,2755,961,359,229,388,9,2250,5731,2541,-21,6810,0
02:10,0,2738,960,359,229,388,8,2250,5745,2483,-23,6876,0
02:15,0,2729,961,357,229,388,8,2250,5714,2429,-23,6910,0
02:20,0,2718,960,358,228,388,8,2248,5700,2398,-23,6921,0
02:25,0,2692,961,359,228,388,9,2249,5685,2390,-40,6950,0
02:30,0,2639,960,357,228,387,9,2250,5646,2413,-46,6981,0
02:35,0,2594,961,358,228,388,8,2249,5543,2443,-36,7012,0
02:40,0,2569,960,359,228,388,9,2248,5528,2449,-42,6995,0
02:45,0,2522,961,358,229,388,9,2248,5508,2467,-34,7009,0
02:50,0,2491,961,358,229,388,9,2247,5509,2462,-34,7010,0
02:55,0,2456,961,357,229,387,9,2247,5533,2451,-39,7030,0
03:00,0,2431,961,357,230,387,9,2247,5564,2427,-46,7062,0
03:05,0,2409,956,357,230,387,9,2247,5554,2426,-47,7075,0
03:10,0,2401,954,355,230,387,9,2247,5516,2439,-36,7120,0
