Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural gas,Large hydro,Batteries,Imports,Other
00:00,-11,2586,897,365,223,177,17,2272,5852,870,6,7794,0
00:05,-11,2592,897,364,223,184,17,2272,5738,758,13,7903,0
00:10,-11,2596,899,364,223,219,17,2274,5800,662,0,7979,0
00:15,-11,2538,900,350,223,219,17,2273,5777,660,0,8024,0
00:20,-11,2431,900,342,223,219,17,2273,5737,659,0,8183,0
00:25,-11,2351,900,363,223,219,18,2273,5793,673,12,8182,0
00:30,-11,2307,900,362,223,219,18,2272,5757,667,10,8202,0
00:35,-11,2275,901,350,224,219,18,2273,5783,659,0,8202,0
00:40,-11,2283,900,365,224,219,18,2274,5752,654,-21,8186,0
00:45,-11,2342,900,365,223,218,17,2274,5728,647,-35,8144,0
00:50,-11,2388,900,363,223,217,17,2273,5663,653,10,7981,0
00:55,-11,2394,900,364,224,217,18,2274,5701,651,-10,7894,0
01:00,-11,2407,899,364,223,217,18,2274,5711,650,-17,7874,0
01:05,-11,2395,899,335,223,217,18,2274,5683,665,-2,7798,0
01:10,-11,2360,899,364,223,220,19,2274,5735,679,0,7756,0
01:15,-11,2306,899,362,223,220,18,2274,5724,672,-6,7798,0
01:20,-11,2248,899,361,223,220,18,2274,5767,677,0,7774,0
01:25,-11,2218,899,361,223,221,19,2274,5746,679,4,7755,0
01:30,-11,2176,899,362,223,222,19,2274,5748,670,-4,7743,0
01:35,-11,2193,900,364,223,222,19,2275,5770,671,-5,7682,0
01:40,-11,2208,899,364,222,220,19,2274,5780,671,-29,7636,0
01:45,-11,2184,900,350,222,220,19,2276,5766,671,-4,7649,0
01:50,-11,2191,901,364,222,219,19,2275,5764,682,-2,7550,0
01:55,-11,2204,901,364,223,220,19,2275,5731,680,-5,7535,0
02:00,-11,2209,901,363,222,220,18,2275,5759,671,-9,7473,0
02:05,-11,2183,901,363,222,221,18,2275,5811,541,-2,7508,0
02:10,-11,2156,900,358,222,222,19,2274,5863,518,0,7547,0
02:15,-11,2122,901,358,222,222,18,2276,5875,515,2,7531,0
02:20,-11,2076,901,358,222,222,18,2274,5878,523,5,7574,0
02:25,-11,2050,900,344,222,222,19,2275,5847,534,5,7591,0
02:30,-11,1983,900,358,222,223,19,2274,5858,539,7,7625,0
02:35,-11,1962,899,356,222,223,19,2273,5916,530,0,7633,0
02:40,-11,1981,899,356,222,223,19,2274,5947,527,0,7591,0
02:45,-11,1965,899,341,222,223,19,2273,5955,528,0,7589,0
02:50,-11,1959,899,351,220,222,19,2274,5991,527,0,7586,0
