Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural gas,Large hydro,Batteries,Imports,Other
0:00,-27,3148,897,349,222,322,11,2264,9127,2478,-8,8397,0
0:05,-27,3142,896,349,222,322,10,2263,9044,2399,-1,8381,0
0:10,-27,3062,896,350,222,322,9,2264,8864,2165,-7,8663,0
0:15,-26,3024,896,349,222,326,9,2263,8709,2100,-8,8847,0
0:20,-26,3036,897,347,222,327,9,2264,8516,2106,-3,8906,0
0:25,-26,2986,898,346,222,327,9,2263,8369,2113,-2,8923,0
0:30,-26,2854,898,348,222,327,9,2263,8269,2114,-2,9013,0
0:35,-26,2840,899,347,222,328,9,2263,8319,2105,-2,8865,0
0:40,-26,2815,899,347,222,327,10,2263,8320,2113,-2,8741,0
0:45,-26,2792,899,347,222,327,10,2264,8278,2094,-2,8682,0
0:50,-26,2786,893,347,222,327,10,2263,8184,2065,-3,8687,0
0:55,-26,2769,852,346,222,328,9,2263,8035,2050,-3,8792,0
1:00,-27,2758,838,347,222,328,9,2263,8016,2016,-6,8860,0
1:05,-27,2702,838,348,222,327,9,2263,8029,2021,-24,8915,0
1:10,-27,2702,858,349,222,326,10,2263,7905,2072,-24,8947,0
1:15,-27,2730,878,348,222,326,8,2263,7606,1998,-28,9045,0
1:20,-27,2727,889,347,222,325,9,2264,7428,1866,-10,9110,0
1:25,-27,2741,900,346,222,325,10,2263,7313,1868,-3,9079,0
1:30,-27,2761,901,346,222,324,10,2263,7094,1876,-3,9159,0
1:35,-27,2800,901,347,222,322,10,2263,6860,1862,-25,9259,0
1:40,-26,2807,899,346,223,321,10,2263,6777,1847,-37,9302,0
1:45,-26,2784,900,346,223,321,10,2263,6675,1853,-37,9316,0
1:50,-26,2829,900,346,223,321,10,2263,6613,1875,-36,9213,0
1:55,-26,2884,901,346,223,321,10,2264,6552,1873,-36,9110,0
2:00,-26,2878,900,346,223,321,10,2263,6584,1840,-35,9029,0
2:05,-26,2841,900,346,223,321,10,2263,6482,1712,-20,9141,0
2:10,-26,2809,899,347,223,322,9,2262,6427,1683,-3,9186,0
2:15,-26,2794,898,348,223,323,9,2263,6308,1681,-7,9248,0
2:20,-26,2796,899,347,222,323,11,2261,6202,1682,-7,9281,0
2:25,-26,2780,899,347,223,323,11,2263,6172,1677,-10,9254,0
2:30,-26,2751,899,344,222,323,11,2263,6162,1684,-4,9205,0
2:35,-26,2740,898,344,222,323,11,2263,6477,1807,25,8728,0
2:40,-26,2717,898,347,222,324,10,2264,6419,1905,31,8637,0
2:45,-26,2710,898,349,222,324,9,2262,6263,1951,35,8633,0
2:50,-26,2699,898,350,222,323,9,2263,6116,1973,33,8712,0
2:55,-27,2690,898,348,222,322,9,2262,6085,1996,38,8663,0
3:00,-28,2673,897,346,222,322,9,2262,6012,1962,36,8700,0
3:05,-27,2660,898,348,222,321,9,2263,5761,1857,8,9061,0
3:10,-27,2640,898,349,222,322,9,2261,5736,1743,14,9215,0
3:15,-27,2613,898,347,222,323,10,2263,5757,1698,30,9239,0
3:20,-27,2598,899,346,222,322,10,2262,5777,1692,32,9199,0
3:25,-27,2592,898,346,222,323,10,2263,5748,1693,32,9191,0
3:30,-27,2594,900,347,222,323,10,2262,5665,1693,31,9239,0
3:35,-27,2607,899,347,222,325,10,2263,5607,1692,12,9257,0
3:40,-27,2593,898,347,222,325,10,2263,5629,1690,11,9240,0
3:45,-28,2578,898,348,222,325,9,2263,5618,1692,15,9242,0
3:50,-28,2546,898,347,222,326,10,2262,5703,1693,22,9153,0
3:55,-28,2504,898,348,222,325,10,2263,5638,1695,21,9226,0
4:00,-28,2465,897,347,222,326,10,2263,5582,1699,0,9307,0
4:05,-28,2430,898,347,222,326,11,2263,5819,1728,8,9192,0
4:10,-28,2385,899,347,222,327,11,2263,6187,1925,35,8805,0
4:15,-28,2358,899,348,222,329,11,2264,6084,1886,37,8837,0
4:20,-28,2337,899,346,222,334,10,2263,6059,1839,37,8966,0
4:25,-28,2308,899,347,222,336,10,2264,6096,1827,37,8985,0
4:30,-28,2290,898,348,222,337,10,2264,6060,1827,37,9058,0
4:35,-28,2263,897,348,222,336,10,2264,6033,1827,37,9109,0
4:40,-29,2245,897,349,222,336,10,2263,6061,1838,37,9098,0
4:45,-29,2222,897,348,222,334,10,2264,6095,1832,36,9123,0
4:50,-29,2202,897,349,222,334,10,2264,6179,1885,37,9054,0
4:55,-29,2184,898,347,222,334,10,2263,6184,1853,37,9087,0
5:00,-30,2164,899,348,222,333,10,2263,6197,1880,32,9150,0
5:05,-31,2120,899,348,222,333,11,2263,6091,2069,-2,9347,0
5:10,-32,2070,899,349,223,335,10,2262,6037,2138,-9,9531,0
5:15,-32,2019,899,349,224,337,10,2262,6173,2131,3,9519,0
5:20,-32,1968,899,349,223,336,9,2262,6270,2125,4,9532,0
5:25,-32,1930,899,349,224,336,10,2261,6331,2122,0,9554,0
5:30,-32,1904,898,349,222,337,10,2262,6413,2114,-2,9525,0
5:35,-33,1913,898,349,223,336,11,2261,6418,2146,-2,9600,0
5:40,-33,1925,898,349,222,336,11,2261,6420,2187,-2,9614,0
5:45,-33,1941,898,348,222,335,11,2261,6411,2197,-2,9607,0
5:50,-31,1935,898,348,222,336,11,2260,6447,2165,-2,9608,0
5:55,-22,1903,898,350,222,337,10,2261,6483,2152,-2,9629,0
6:00,14,1873,898,351,222,337,10,2261,6618,2232,-3,9502,0
6:05,70,1851,898,352,220,333,11,2261,6886,2482,7,9193,0
6:10,162,1819,898,351,220,333,11,2261,6796,2610,-1,9158,0
6:15,284,1772,898,355,220,331,12,2263,6755,2610,-1,9143,0
6:20,477,1725,897,352,221,328,12,2262,6731,2621,1,9034,0
6:25,707,1694,898,353,220,328,12,2264,6688,2610,1,8880,0
6:30,945,1675,899,353,220,327,11,2265,6647,2596,1,8740,0
6:35,1243,1661,899,353,221,326,10,2264,6468,2604,1,8704,0
6:40,1558,1653,898,354,221,326,9,2264,6304,2605,1,8613,0
6:45,1885,1654,897,355,221,326,9,2264,6132,2561,-7,8535,0
6:50,2225,1660,897,355,221,326,10,2265,5946,2505,-8,8460,0
6:55,2607,1667,896,356,220,328,11,2264,5846,2464,-15,8273,0
